code,price,open,high,low,volume,amount,bid_vol,ask_vol,turnover,updated_at
002686,6.2000,6.1600,6.2800,6.0500,97135,59977888.00,46874,50261,1.7154,2026-06-06 12:02:19.577001+00:00
002687,4.3800,4.2800,4.4200,4.2100,93251,40320708.00,47533,45719,1.8474,2026-06-06 12:02:19.577001+00:00
002688,5.1900,5.1800,5.2500,5.1700,71508,37253408.00,37508,34000,0.9293,2026-06-06 12:02:19.577001+00:00
002689,3.0600,3.0900,3.1000,3.0100,52609,16072120.00,23746,28864,0.5043,2026-06-06 12:02:19.577001+00:00
002690,15.0000,14.9100,15.2200,14.7800,45076,67628336.00,22860,22216,0.5109,2026-06-06 12:02:19.577001+00:00
002691,5.1700,5.0900,5.2500,5.0200,57283,29476134.00,29936,27348,0.0000,2026-06-06 12:02:19.577001+00:00
002125,16.9800,16.2500,17.3800,15.9000,902859,1509462656.00,477690,425169,14.3422,2026-06-06 12:02:19.577001+00:00
002141,3.1400,3.1800,3.2200,3.1300,160398,50819508.00,70630,89768,1.5528,2026-06-06 12:02:19.577001+00:00
002158,28.5100,28.7600,29.2800,27.9000,93125,265765248.00,45836,47289,1.7416,2026-06-06 12:02:19.577001+00:00
002693,9.2600,9.3100,9.3300,9.0600,103551,95454848.00,55809,47742,2.4971,2026-06-06 12:02:19.577001+00:00
002694,2.5100,2.4000,2.5100,2.3700,53821,13248097.00,35458,18363,0.0000,2026-06-06 12:02:19.577001+00:00
002696,5.8000,5.8400,5.9400,5.6000,344273,198993440.00,165474,178800,9.9572,2026-06-06 12:02:19.577001+00:00
002698,12.4700,12.1100,12.7900,11.8100,148545,182784800.00,74164,74382,1.4527,2026-06-06 12:02:19.577001+00:00
002701,4.8300,4.8500,4.9000,4.7700,237970,114682648.00,111327,126643,0.9297,2026-06-06 12:02:19.577001+00:00
002702,5.2300,5.1100,5.3200,5.0800,222495,115971784.00,124816,97679,4.0034,2026-06-06 12:02:19.577001+00:00
002703,16.7600,17.2200,17.3800,16.2000,455676,759713280.00,221910,233767,5.5392,2026-06-06 12:02:19.577001+00:00
002706,12.6300,13.0600,13.1000,12.2200,582263,735891008.00,275967,306297,5.1843,2026-06-06 12:02:19.577001+00:00
002707,5.5300,5.5100,5.6500,5.5100,144530,80526728.00,81407,63123,1.4707,2026-06-06 12:02:19.577001+00:00
002708,15.8600,14.2800,15.8600,14.2300,615242,946710528.00,295577,319666,10.9455,2026-06-06 12:02:19.577001+00:00
002709,48.6200,49.1700,50.4400,48.2900,838730,4131679744.00,427831,410899,4.1143,2026-06-06 12:02:19.577001+00:00
002713,11.5400,11.4400,11.7800,11.1300,94925,108972680.00,47398,47527,0.9977,2026-06-06 12:02:19.577001+00:00
002714,35.0600,35.1300,35.6300,34.8500,391702,1378272640.00,198748,192955,0.6785,2026-06-06 12:02:19.577001+00:00
002715,15.6200,15.3600,15.9800,15.1000,38850,60363280.00,19585,19265,2.8152,2026-06-06 12:02:19.577001+00:00
002716,9.0800,9.2400,9.3000,9.0300,799161,733422080.00,413999,385162,2.8308,2026-06-06 12:02:19.577001+00:00
002717,1.1100,1.1100,1.1100,1.0800,1566125,173470896.00,511327,1054799,0.0000,2026-06-06 12:02:19.577001+00:00
002719,7.3500,7.2900,7.3900,7.1500,44511,32341802.00,15902,28609,2.5561,2026-06-06 12:02:19.577001+00:00
002721,2.5800,2.5800,2.6200,2.5700,216401,56074112.00,104217,112184,0.8137,2026-06-06 12:02:19.577001+00:00
002722,13.3100,13.1300,13.5800,13.0500,29118,38846832.00,15863,13255,1.3094,2026-06-06 12:02:19.577001+00:00
002724,5.4700,5.4100,5.5600,5.3800,69150,37858824.00,37416,31734,0.8963,2026-06-06 12:02:19.577001+00:00
002725,13.8500,14.3600,14.6300,13.8400,127407,180217984.00,59359,68048,4.9768,2026-06-06 12:02:19.577001+00:00
002726,1.6700,1.6600,1.7000,1.6200,356024,59002172.00,148100,207925,0.0000,2026-06-06 12:02:19.577001+00:00
002729,17.9700,18.1000,18.4600,17.6000,53925,96848288.00,26519,27407,2.9472,2026-06-06 12:02:19.577001+00:00
002730,29.2100,29.7400,30.2400,28.8500,97099,285861792.00,51835,45265,0.0000,2026-06-06 12:02:19.577001+00:00
002732,14.1700,13.9100,14.3300,13.8600,13384,18881116.00,7306,6078,0.8506,2026-06-06 12:02:19.577001+00:00
002733,33.9600,33.2000,35.7600,33.0200,437204,1501282176.00,239584,197621,11.3792,2026-06-06 12:02:19.577001+00:00
002734,17.3300,17.2300,17.5800,17.0600,215504,373562880.00,104456,111049,4.5289,2026-06-06 12:02:19.577001+00:00
002735,18.0300,16.6900,18.8100,16.6500,859605,1529621376.00,448420,411186,22.9073,2026-06-06 12:02:19.577001+00:00
002736,10.0100,10.0000,10.1700,9.9900,204402,206017344.00,105445,98957,0.1996,2026-06-06 12:02:19.577001+00:00
002737,12.7700,12.5100,12.8800,12.4800,40424,51459372.00,22982,17442,0.6922,2026-06-06 12:02:19.577001+00:00
002738,58.3700,57.7600,58.9800,55.8200,298239,1718192128.00,137378,160861,4.1336,2026-06-06 12:02:19.577001+00:00
002741,27.9800,27.8500,29.1800,27.0100,440041,1242539904.00,218633,221409,9.4628,2026-06-06 12:02:19.577001+00:00
002742,4.1400,4.1500,4.3100,4.0100,149911,61635932.00,71412,78499,2.1914,2026-06-06 12:02:19.577001+00:00
002743,4.6600,4.6400,4.7400,4.5400,56695,26446700.00,28839,27856,1.3025,2026-06-06 12:02:19.577001+00:00
002745,10.0600,10.1700,10.4700,9.6000,727923,733954880.00,358264,369659,4.9046,2026-06-06 12:02:19.577001+00:00
002747,31.0200,29.4700,32.0000,28.1100,960222,2896509184.00,525778,434445,9.9217,2026-06-06 12:02:19.577001+00:00
002748,10.7300,10.6800,10.9000,10.4500,34086,36488356.00,18403,15683,1.4203,2026-06-06 12:02:19.577001+00:00
002752,6.3500,6.4600,6.4800,6.3100,112148,71494896.00,54730,57419,0.0000,2026-06-06 12:02:19.577001+00:00
002753,6.5500,6.4700,6.6700,6.4300,58811,38675632.00,35203,23608,1.3719,2026-06-06 12:02:19.577001+00:00
002755,12.9200,13.1500,13.2900,12.9200,103150,134827808.00,45429,57722,1.1113,2026-06-06 12:02:19.577001+00:00
002756,58.9500,59.9200,60.6000,58.2700,145070,861582016.00,72978,72093,2.6910,2026-06-06 12:02:19.577001+00:00
002757,22.3700,22.6000,22.8500,21.9500,105682,236928416.00,53276,52406,3.5769,2026-06-06 12:02:19.577001+00:00
