id,code,report_date,report_type,total_revenue,net_profit,revenue_growth,profit_growth,total_assets,total_liabilities,net_assets,roe,eps,bps,gross_margin,net_margin,debt_ratio,created_at
41,000010,2026-03-31,一季报,105592241.59,32055011.10,,,2655825759.40,2305874470.14,0.00,0.0000,0.0235,0.0000,8.2800,30.3600,86.8200,2026-06-05 20:25:56.613423+00:00
42,000010,2025-12-31,年报,634211930.55,-22874055.97,,,2685186750.21,2367290472.04,0.00,0.0000,-0.0301,0.0000,7.7600,0.0000,88.1600,2026-06-05 20:25:56.613423+00:00
43,000010,2025-09-30,三季报,424681371.63,-30518743.44,,,2719410749.29,2348157917.70,0.00,0.0000,-0.0278,0.0000,7.9500,0.0000,86.3500,2026-06-05 20:25:56.613423+00:00
44,000010,2025-06-30,中报,230158736.92,-58308711.31,,,2787056114.80,2447515613.58,0.00,0.0000,-0.0423,0.0000,10.6800,0.0000,87.8200,2026-06-05 20:25:56.613423+00:00
45,000012,2026-03-31,一季报,2990246615.00,-103486096.00,,,31689536306.00,18251073666.00,0.00,0.0000,-0.0300,0.0000,11.0200,0.0000,57.5900,2026-06-05 20:25:56.613423+00:00
46,000012,2025-12-31,年报,13718969008.00,105334139.00,,,31305028835.00,17750341253.00,0.00,0.0000,0.0400,0.0000,14.6100,0.7700,56.7000,2026-06-05 20:25:56.613423+00:00
47,000012,2025-09-30,三季报,10424014383.00,139163051.00,,,31269652989.00,17564570233.00,0.00,0.0000,0.0500,0.0000,13.8800,1.3400,56.1700,2026-06-05 20:25:56.613423+00:00
48,000012,2025-06-30,中报,6483562120.00,64496634.00,,,31677499152.00,18005394239.00,0.00,0.0000,0.0200,0.0000,14.5200,0.9900,56.8400,2026-06-05 20:25:56.613423+00:00
49,000014,2026-03-31,一季报,112599562.24,-6573928.66,,,2154316229.94,632961950.74,0.00,0.0000,-0.0351,0.0000,22.7000,0.0000,29.3800,2026-06-05 20:25:56.613423+00:00
50,000014,2025-12-31,年报,310141261.81,-149606375.00,,,2519339011.08,707344435.29,0.00,0.0000,-0.6200,0.0000,-1.1700,0.0000,28.0800,2026-06-05 20:25:56.613423+00:00
